temps(s)	Ti1	Ti2	Ti3	Ti4	Ti5	To1	To2	To3	Ts1	To5	To4	T1	T2	T3	T4	T5	T_marchepas	T6	T7	T8	T9	T10	T11	T12	T13	diff_pression	Debit(kg/s)	frequence(hz)	pression_statique(pascal)	Ts2
612,000000	19,781052	0,000000	0,000000	0,000000	0,000000	23,856161	24,411079	22,713360	23,513792	23,085485	24,186214	20,678942	20,447868	21,386171	21,594627	23,494959	20,459999	23,369999	25,609999	22,779999	20,129999	20,129999	19,949999	19,910000	19,799999	606,161011	0,000000	20,000000	100038,000000	21,700001
615,000000	19,776005	0,000000	0,000000	0,000000	0,000000	23,866264	24,395901	22,713360	23,513792	23,085485	24,066286	20,569086	20,447868	21,396269	21,754990	23,635115	20,459999	23,379999	25,629999	22,769999	20,129999	20,129999	19,949999	19,910000	19,789999	621,329041	0,023564	20,000000	100038,000000	21,799999
617,000000	19,781052	0,000000	0,000000	0,000000	0,000000	23,861212	24,395901	22,718410	23,513792	23,075380	24,071339	20,678942	20,457966	21,396269	21,760038	23,645239	20,459999	23,400000	25,619999	22,789999	20,129999	20,129999	19,949999	19,900000	19,789999	340282346638528860000000000000000000000,000000	0,023527	20,000000	100038,000000	21,799999
619,000000	19,801254	0,000000	0,000000	0,000000	0,000000	23,861212	24,400953	22,733583	23,518843	23,090536	24,081444	20,569086	20,457966	21,391220	21,614822	23,630062	20,459999	23,369999	25,619999	22,809999	20,129999	20,129999	19,949999	19,889999	19,789999	592,610046	0,023719	20,000000	100038,000000	21,700001
621,000000	19,811348	0,000000	0,000000	0,000000	0,000000	23,871336	24,385775	22,723482	23,528965	23,090536	24,091570	20,584248	20,457966	21,381104	21,760038	23,469679	20,459999	23,350000	25,609999	22,830000	20,129999	20,129999	19,939999	19,869999	19,789999	603,642029	0,023322	20,000000	100038,000000	21,700001
623,000000	19,811348	0,000000	0,000000	0,000000	0,000000	23,871336	24,380722	22,738653	23,518843	23,100658	24,096622	20,584248	20,457966	21,381104	21,624941	23,544123	20,459999	23,320000	25,599998	22,830000	20,129999	20,129999	19,949999	19,869999	19,789999	340282346638528860000000000000000000000,000000	0,023067	20,000000	100038,000000	21,700001
625,000000	19,801254	0,000000	0,000000	0,000000	0,000000	23,866264	24,375669	22,728533	23,523895	23,120865	24,086498	20,594343	20,457966	21,235910	21,619890	23,544123	20,459999	23,289999	25,590000	22,850000	20,129999	20,129999	19,949999	19,859999	19,779999	340282346638528860000000000000000000000,000000	0,023797	20,000000	100038,000000	21,700001
627,000000	19,786097	0,000000	0,000000	0,000000	0,000000	23,866264	24,245615	22,728533	23,534019	23,250916	24,091570	20,584248	20,452919	21,215696	21,589579	23,559296	20,459999	23,299999	25,580000	22,869999	20,129999	20,139999	19,949999	19,850000	19,779999	622,770020	0,023682	20,000000	100038,000000	21,700001
629,000000	19,796207	0,000000	0,000000	0,000000	0,000000	23,866264	24,380722	22,728533	23,523895	23,120865	24,096622	20,589294	20,452919	21,230862	21,614822	23,474731	20,459999	23,320000	25,599998	22,850000	20,129999	20,139999	19,949999	19,840000	19,770000	609,397034	0,023349	20,000000	100038,000000	21,700001
631,000000	19,801254	0,000000	0,000000	0,000000	0,000000	23,856161	24,390846	22,743704	23,528965	23,115810	24,106728	20,594343	20,447868	21,240957	21,624941	23,474731	20,459999	23,359999	25,599998	22,850000	20,129999	20,129999	19,949999	19,850000	19,779999	340282346638528860000000000000000000000,000000	0,023248	20,000000	100038,000000	21,799999
633,000000	19,811348	0,000000	0,000000	0,000000	0,000000	23,871336	24,390846	22,748755	23,528965	23,115810	24,106728	20,599411	20,457966	21,240957	21,765087	23,559296	20,449999	23,330000	25,580000	22,859999	20,129999	20,129999	19,949999	19,850000	19,789999	340282346638528860000000000000000000000,000000	0,023487	20,000000	100034,000000	21,799999
